epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_seconds
1,1.6245927068922255,0.4158222222222222,1.2932226800918578,0.5438,0.001,8.631254545000047
2,1.3255529760466682,0.5288,1.1426033529281616,0.5986,0.001,8.38341543100023
3,1.2119103780110676,0.5718,1.068179947090149,0.6278,0.001,8.439831718000278
4,1.152574465476142,0.5950666666666666,1.0553472608566283,0.6358,0.001,9.233752824000021
5,1.1132906809912788,0.6088,0.9850922655105591,0.6616,0.001,9.389929240000129
6,1.0918710377163356,0.6169555555555556,0.9745437524795533,0.665,0.001,8.822033981000004
7,1.0678647024260628,0.6265333333333334,0.9396850101470947,0.6782,0.001,8.600727790000292
8,1.0489154525756836,0.6325333333333333,0.9523333185195922,0.6744,0.001,9.028806915000132
9,1.0280151846779717,0.6410888888888889,0.9485527296066284,0.667,0.001,9.859866562000207
10,1.0174100735081566,0.6451111111111111,0.9177080173492431,0.6802,0.001,22.535193561999677
11,1.0038025085343254,0.6498,0.9174511512756348,0.6828,0.001,11.238585540999793
12,0.9924885446336534,0.6551333333333333,0.9103825380325318,0.6812,0.001,9.065819742000258
13,0.98641978386773,0.6581111111111111,0.9196522407531739,0.6818,0.001,9.174273238000296
14,0.9751249047279358,0.6618444444444445,0.8759126147270203,0.6912,0.001,10.295248048000303
15,0.9644981927553813,0.6637333333333333,0.8736147055625916,0.6988,0.001,10.650470837000285
16,0.9560410629060533,0.6667333333333333,0.8980634792327881,0.6882,0.001,9.696285994999926
17,0.9514264993243747,0.6672444444444444,0.8727822996139526,0.6984,0.001,12.088474332999795
18,0.9417887926949395,0.6741777777777778,0.8597313485622406,0.7118,0.001,10.315691072999925
19,0.9413413920296563,0.6719777777777778,0.8606311363220215,0.7026,0.001,9.00807955800019
20,0.9332293862024943,0.6768,0.8727893454551697,0.6952,0.001,8.792531086000054
